Home-Team,Away-Team,Home-Goals,Away-Goals
Saudi Arabia,Morocco,2,1
Spain,New Zealand,0,0
Switzerland,Uruguay,3,2
United States,Belgium,0,0
New Zealand,Netherlands,0,1
Cape Verde,New Zealand,0,1
Tunisia,Brazil,0,1
Qatar,Norway,1,2
Argentina,Spain,1,0
Brazil,Mexico,3,0
United States,Czech Republic,2,1
Iraq,Spain,1,1
Congo DR,Senegal,1,0
Curacao,Jordan,5,0
Ghana,Tunisia,0,0
Canada,United States,1,1
Panama,Qatar,1,1
Switzerland,France,1,2
Croatia,Ghana,0,3
Norway,Austria,0,1
Switzerland,Germany,2,0
Mexico,Austria,1,3
Netherlands,Brazil,0,3
Algeria,Netherlands,1,1
South Korea,Iraq,0,0
Japan,Argentina,1,2
Haiti,Ivory Coast,1,0
Tunisia,Morocco,0,1
Algeria,Brazil,5,4
Congo DR,Iran,0,0
Saudi Arabia,South Africa,2,0
Australia,Uzbekistan,1,0
Senegal,Curacao,0,0
Portugal,Argentina,2,4
Bosnia and Herzegovina,United States,1,1
Iran,Brazil,2,2
United States,Netherlands,0,2
Algeria,Switzerland,2,1
Ivory Coast,Saudi Arabia,2,0
Australia,Croatia,1,0
Australia,South Korea,0,2
Mexico,Bosnia and Herzegovina,1,1
Switzerland,Ghana,1,1
Cape Verde,Jordan,0,0
Portugal,Iraq,2,2
Saudi Arabia,Croatia,1,0
Tunisia,Haiti,3,0
Uruguay,Croatia,5,0
Ivory Coast,Algeria,2,0
Switzerland,Saudi Arabia,1,0
Ghana,Congo DR,2,0
United States,Cape Verde,1,0
Ecuador,England,3,1
United States,Argentina,1,2
Ecuador,Egypt,3,1
Switzerland,Portugal,0,1
Mexico,Uzbekistan,0,1
Curacao,Ecuador,3,0
Mexico,Jordan,5,1
Paraguay,Egypt,1,3
Jordan,Ivory Coast,0,2
Germany,Japan,3,1
Belgium,Uruguay,1,4
New Zealand,Congo DR,2,2
Tunisia,Japan,1,1
New Zealand,Qatar,1,0
Norway,Qatar,1,0
Egypt,Australia,2,2
United States,Belgium,1,0
Czech Republic,Paraguay,1,3
Brazil,England,2,1
Morocco,Germany,0,3
Saudi Arabia,Croatia,0,0
Cape Verde,Norway,0,2
Iraq,Portugal,0,3
Algeria,Iraq,1,1
Ivory Coast,Scotland,0,0
Japan,Congo DR,0,0
France,Cape Verde,3,1
Haiti,Morocco,0,1
Cape Verde,Tunisia,2,1
Switzerland,Jordan,3,0
Austria,Morocco,1,3
Iran,Norway,2,4
Croatia,Ivory Coast,0,0
France,Haiti,0,0
Haiti,Japan,1,2
Czech Republic,Colombia,1,0
Czech Republic,Netherlands,3,1
Saudi Arabia,Turkey,0,3
Saudi Arabia,Czech Republic,1,2
Iraq,Senegal,2,0
Germany,Australia,3,2
Croatia,Tunisia,1,1
Scotland,France,3,1
Iraq,Ecuador,3,0
Paraguay,Spain,1,2
Morocco,Australia,1,0
Turkey,Uruguay,2,0
England,Uruguay,1,2
Uzbekistan,Brazil,0,2
Brazil,Haiti,4,0
Paraguay,Portugal,2,1
Tunisia,Belgium,1,1
Belgium,Bosnia and Herzegovina,0,0
Sweden,Congo DR,2,2
Croatia,Japan,1,1
Scotland,Iraq,1,3
Norway,Mexico,2,2
Tunisia,Haiti,3,0
Ghana,Senegal,3,1
Curacao,Turkey,1,1
Egypt,Bosnia and Herzegovina,4,2
Jordan,Australia,4,3
Panama,Scotland,0,1
Panama,Morocco,1,1
Uruguay,United States,4,1
Portugal,Austria,7,0
Spain,Qatar,1,2
Congo DR,United States,2,0
Qatar,United States,2,2
France,Portugal,2,0
Curacao,Saudi Arabia,0,3
England,United States,0,0
Portugal,Argentina,1,1
Austria,Portugal,2,2
Czech Republic,Uruguay,2,2
Switzerland,Bosnia and Herzegovina,2,0
Paraguay,Mexico,1,0
Tunisia,Belgium,0,0
Haiti,Uzbekistan,0,0
Uzbekistan,Sweden,1,2
Uruguay,Sweden,1,0
Canada,Senegal,0,0
Netherlands,Bosnia and Herzegovina,1,0
Norway,South Korea,0,1
Norway,Canada,1,1
Ivory Coast,Haiti,2,2
England,Cape Verde,1,1
Jordan,Netherlands,0,1
England,Egypt,1,2
Haiti,Austria,0,3
Netherlands,Uruguay,0,1
Senegal,Tunisia,0,0
Panama,Belgium,1,1
Norway,Colombia,1,4
Switzerland,Ivory Coast,0,2
Uruguay,Portugal,1,1
Panama,Congo DR,2,2
Netherlands,England,0,0
Jordan,Tunisia,0,0
France,Brazil,0,1
Uruguay,Croatia,1,1
Canada,Paraguay,1,3
Sweden,Mexico,0,0
Egypt,England,3,1
Croatia,Algeria,0,1
France,Algeria,1,0
Japan,Ivory Coast,1,1
Iran,Norway,1,0
Ghana,Haiti,0,0
Congo DR,Bosnia and Herzegovina,0,1
Curacao,Paraguay,1,3
Germany,Senegal,1,3
Iran,Mexico,2,0
England,Qatar,3,1
New Zealand,Tunisia,0,0
England,New Zealand,3,1
Ecuador,England,2,1
England,Qatar,2,2
Sweden,Czech Republic,2,2
Scotland,Croatia,0,3
England,Czech Republic,1,1
