Mexico,South Africa,2,0
South Korea,Czech Republic,2,1
Canada,Bosnia and Herzegovina,1,1
United States,Paraguay,4,1
Qatar,Switzerland,1,1
Brazil,Morocco,1,1
Haiti,Scotland,0,1
Australia,Turkey,2,0
Germany,Curacao,7,1
Netherlands,Japan,2,2
Ivory Coast,Ecuador,1,0
Sweden,Tunisia,5,1
Spain,Cape Verde,0,0
Belgium,Egypt,1,1
Saudi Arabia,Uruguay,1,1
Iran,New Zealand,2,2
France,Senegal,3,1
Iraq,Norway,1,4
Argentina,Algeria,3,0
Austria,Jordan,3,1
Portugal,DR Congo,1,1
England,Croatia,4,2
Ghana,Panama,1,0
Uzbekistan,Colombia,1,3
Czech Republic,South Africa,1,1
Switzerland,Bosnia and Herzegovina,4,1
Canada,Qatar,6,0
Mexico,South Korea,1,0
United States,Australia,2,0
Scotland,Morocco,0,1
Brazil,Haiti,3,0
Turkey,Paraguay,0,1
Netherlands,Sweden,5,1
Germany,Ivory Coast,2,1
Ecuador,Curacao,0,0
Tunisia,Japan,0,4
Spain,Saudi Arabia,4,0
Belgium,Iran,0,0
Uruguay,Cape Verde,2,2
New Zealand,Egypt,1,3
Argentina,Austria,2,0
France,Iraq,3,0
Norway,Senegal,3,2
Jordan,Algeria,1,2
Portugal,Uzbekistan,5,0
England,Ghana,0,0
Panama,Croatia,0,1
Colombia,DR Congo,1,0
Switzerland,Canada,2,1
Bosnia and Herzegovina,Qatar,3,1
Morocco,Haiti,4,2
Scotland,Brazil,0,3
Czech Republic,Mexico,0,3
South Africa,South Korea,1,0
Ecuador,Germany,2,1
Curacao,0,2,Côte d'Ivoire
Tunisia,1,3,Netherlands
Japan,1,1,Sweden
Turkey,3,2,USA
Paraguay,0,0,Australia
Norway,–,France
Senegal,–,Iraq
Uruguay,0,1,Spain
Cape Verde,0,0,Saudi Arabia
New Zealand,1,5,Belgium
Egypt,1,2,Iran
