home_team,away_team,home_goal,away_goal
Egypt,Uruguay,0,1
Morocco,Iran,0,1
Portugal,Spain,3,3
France,Australia,2,1
Germany,Mexico,0,1
Brazil,Switzerland,1,1
Sweden,South Korea,1,0
Belgium,Panama,3,0
Tunisia,England,1,2
Colombia,Japan,1,2
Portugal,Morocco,1,0
Uruguay,Saudi Arabia,1,0
Iran,Spain,0,1
Argentina,Croatia,0,3
Belgium,Tunisia,5,2
South Korea,Mexico,1,2
Germany,Sweden,2,1
England,Panama,6,1
Japan,Senegal,2,2
Saudi Arabia,Egypt,2,1
Spain,Morocco,2,2
Iran,Portugal,1,1
South Korea,Germany,2,0
Mexico,Sweden,0,3
Senegal,Colombia,0,1
England,Belgium,0,1
Panama,Tunisia,1,2
France,Argentina,4,3
Uruguay,Portugal,2,1
Brazil,Mexico,2,0
Belgium,Japan,3,2
Sweden,Switzerland,1,0
Colombia,England,1,1
Uruguay,France,0,2
Brazil,Belgium,1,2
Sweden,England,0,2
France,Belgium,1,0
Croatia,England,2,1
Belgium,England,2,0
France,Croatia,4,2
Argentina,Ecuador,1,0
Ecuador,Uruguay,2,1
Colombia,Uruguay,2,2
Argentina,Paraguay,1,0
Ecuador,Colombia,0,0
Uruguay,Brazil,2,0
Colombia,Brazil,2,1
Argentina,Uruguay,0,2
Paraguay,Colombia,0,1
Brazil,Argentina,0,1
Uruguay,Paraguay,0,0
Brazil,Ecuador,1,0
Colombia,Argentina,2,1
Paraguay,Brazil,1,0
Ecuador,Paraguay,0,0
Uruguay,Ecuador,0,0
Colombia,Ecuador,0,1
Brazil,Uruguay,1,1
Uruguay,Colombia,3,2
Paraguay,Argentina,2,1
Brazil,Colombia,2,1
Uruguay,Argentina,0,1
Colombia,Paraguay,2,2
Argentina,Brazil,4,1
Paraguay,Uruguay,2,0
Ecuador,Brazil,0,0
Argentina,Colombia,1,1
Brazil,Paraguay,1,0
Paraguay,Ecuador,0,0
Ecuador,Argentina,1,0
Croatia,Czech Republic,5,1
Turkey,Spain,0,6
Sweden,Switzerland,0,2
Switzerland,Sweden,4,1
Czech Republic,Croatia,0,0
Spain,Turkey,2,2
Iran,Uzbekistan,0,0
Uzbekistan,Iran,2,2
Jordan,Saudi Arabia,0,2
Saudi Arabia,Jordan,1,2
Iran,Uzbekistan,2,2
Iran,Qatar,4,1
Uzbekistan,Iran,0,0
Uzbekistan,Qatar,3,0
Qatar,Iran,1,0
Qatar,Uzbekistan,3,2
South Korea,Jordan,1,1
South Korea,Iraq,3,2
Jordan,South Korea,0,2
Jordan,Iraq,0,1
Iraq,South Korea,0,2
Iraq,Jordan,0,0
Japan,Australia,1,1
Japan,Saudi Arabia,0,0
Australia,Japan,1,0
Australia,Saudi Arabia,0,0
Saudi Arabia,Japan,0,2
Saudi Arabia,Australia,0,0
Saudi Arabia,Iraq,0,0
