home_team,away_team, home_goal, away_goal
Paraguay,Peru,0,0
Colombia,Venezuela,1,0
Argentina,Ecuador,1,0
Uruguay,Chile,3,1
Brazil,Bolivia,5,1
Bolivia,Argentina,0,3
Ecuador,Uruguay,2,1
Venezuela,Paraguay,1,0
Chile,Colombia,0,0
Peru,Brazil,0,1
Bolivia,Ecuador,1,2
Colombia,Uruguay,2,2
Chile,Peru,2,0
Argentina,Paraguay,1,0
Brazil,Venezuela,1,1
Venezuela,Chile,3,0
Paraguay,Bolivia,1,0
Ecuador,Colombia,0,0
Uruguay,Brazil,2,0
Peru,Argentina,0,2
Bolivia,Peru,2,0
Venezuela,Ecuador,0,0
Colombia,Brazil,2,1
Argentina,Uruguay,0,2
Chile,Paraguay,0,0
Peru,Venezuela,1,1
Ecuador,Chile,1,0
Paraguay,Colombia,0,1
Brazil,Argentina,0,1
Uruguay,Bolivia,3,0
Bolivia,Venezuela,4,0
Argentina,Chile,3,0
Uruguay,Paraguay,0,0
Brazil,Ecuador,1,0
Peru,Colombia,1,1
Colombia,Argentina,2,1
Ecuador,Peru,1,0
Paraguay,Brazil,1,0
Venezuela,Uruguay,0,0
Chile,Bolivia,1,2
Bolivia,Colombia,1,0
Ecuador,Paraguay,0,0
Venezuela,Argentina,1,1
Chile,Brazil,1,2
Peru,Uruguay,1,0
Colombia,Chile,4,0
Paraguay,Venezuela,2,1
Uruguay,Ecuador,0,0
Argentina,Bolivia,6,0
Brazil,Peru,4,0
Bolivia,Paraguay,2,2
Colombia,Ecuador,0,1
Argentina,Peru,1,0
Chile,Venezuela,4,2
Brazil,Uruguay,1,1
Ecuador,Bolivia,4,0
Uruguay,Colombia,3,2
Paraguay,Argentina,2,1
Venezuela,Brazil,1,1
Peru,Chile,0,0
Paraguay,Chile,1,0
Brazil,Colombia,2,1
Peru,Bolivia,3,1
Ecuador,Venezuela,2,1
Uruguay,Argentina,0,1
Venezuela,Peru,1,0
Bolivia,Uruguay,0,0
Chile,Ecuador,0,0
Colombia,Paraguay,2,2
Argentina,Brazil,4,1
Paraguay,Uruguay,2,0
Ecuador,Brazil,0,0
Chile,Argentina,0,1
Colombia,Peru,0,0
Venezuela,Bolivia,2,0
Bolivia,Chile,2,0
Uruguay,Venezuela,2,0
Argentina,Colombia,1,1
Brazil,Paraguay,1,0
Peru,Ecuador,0,0
Colombia,Bolivia,3,0
Uruguay,Peru,3,0
Paraguay,Ecuador,0,0
Argentina,Venezuela,3,0
Brazil,Chile,3,0
Bolivia,Brazil,1,0
Venezuela,Colombia,3,6
Chile,Uruguay,0,0
Peru,Paraguay,0,1
Ecuador,Argentina,1,0
Norway,Italy,3,0
Norway,Israel,5,0
Norway,Estonia,4,1
Norway,Moldova,1,1
Italy,Norway,1,4
Italy,Israel,3,0
Italy,Estonia,5,0
Italy,Moldova,2,0
Israel,Norway,2,4
Israel,Italy,4,5
Israel,Estonia,2,1
Israel,Moldova,4,1
Estonia,Norway,0,1
Estonia,Italy,1,3
Estonia,Israel,1,3
Estonia,Moldova,1,1
Moldova,Norway,0,5
Moldova,Italy,0,2
Moldova,Israel,0,4
Moldova,Estonia,2,3
Netherlands,Poland,1,1
Netherlands,Finland,4,0
Netherlands,Malta,8,0
Netherlands,Lithuania,4,0
Poland,Netherlands,1,1
Poland,Finland,3,1
Poland,Malta,2,3
Poland,Lithuania,1,0
Finland,Netherlands,0,2
Finland,Poland,2,1
Finland,Malta,0,1
Finland,Lithuania,2,1
Malta,Netherlands,0,4
Malta,Poland,2,3
Malta,Finland,0,1
Malta,Lithuania,0,0
Lithuania,Netherlands,2,3
Lithuania,Poland,0,2
Lithuania,Finland,1,1
Lithuania,Malta,1,1
England,Albania,2,0
England,Serbia,2,0
England,Latvia,3,0
England,Andorra,2,0
Albania,England,0,2
Albania,Serbia,0,0
Albania,Latvia,1,0
Albania,Andorra,3,0
Serbia,England,0,5
Serbia,Albania,0,1
Serbia,Latvia,2,1
Serbia,Andorra,3,0
Latvia,England,0,5
Latvia,Albania,1,1
Latvia,Serbia,0,1
Latvia,Andorra,2,2
Andorra,England,0,1
Andorra,Albania,0,1
Andorra,Serbia,1,3
Andorra,Latvia,0,1
Bosnia & Herzegovina,San Marino,1,0
Romania,San Marino,7,1
Cyprus,San Marino,2,0
Liechtenstein,North Macedonia,0,3
Wales,Kazakhstan,3,1
North Macedonia,Wales,1,1
Liechtenstein,Kazakhstan,0,2
Faroe Islands,Croatia,0,1
Czech Republic,Montenegro,2,0
Gibraltar,Czech Republic,0,4
Montenegro,Faroe Islands,1,0
Faroe Islands,Gibraltar,2,1
Austria,Bosnia & Herzegovina,1,1
Austria,Cyprus,1,0
Austria,San Marino,1,0
Cyprus,Romania,2,2
North Macedonia,Belgium,1,1
Wales,Liechtenstein,3,0
Croatia,Czech Republic,5,1
Croatia,Montenegro,4,0
Gibraltar,Croatia,0,7
Czech Republic,Gibraltar,6,0
Switzerland,Kosovo,4,0
Kosovo,Switzerland,1,1
Switzerland,Slovenia,3,0
Kosovo,Sweden,2,0
Slovenia,Sweden,2,2
Denmark,Scotland,0,0
Denmark,Greece,3,1
Scotland,Greece,3,1
Scotland,Belarus,2,1
Greece,Belarus,5,1
France,Ukraine,4,0
France,Iceland,2,1
Ukraine,Iceland,2,0
Ukraine,Azerbaijan,2,1
Iceland,Azerbaijan,5,0
Austria,Romania,2,1
Bosnia & Herzegovina,Romania,3,1
Bosnia & Herzegovina,Cyprus,2,1
Liechtenstein,Belgium,0,6
Kazakhstan,Wales,0,1
North Macedonia,Liechtenstein,5,0
Belgium,Kazakhstan,6,0
