home_team,away_team,home_goal,away_goal
France,Mexico,4,1
United States,Belgium,3,0
Yugoslavia,Brazil,2,1
Argentina,France,1,0
Chile,Mexico,3,0
United States,Paraguay,3,0
Uruguay,Peru,1,0
Chile,France,1,0
Argentina,Mexico,6,3
Brazil,Bolivia,4,0
Paraguay,Belgium,1,0
Uruguay,Romania,4,0
Argentina,Chile,3,1
Argentina,United States,6,1
Uruguay,Yugoslavia,6,1
Uruguay,Argentina,4,2
Austria,France,3,2
Germany,Belgium,5,2
Hungary,Egypt,4,2
Italy,United States,7,1
Spain,Brazil,3,1
Sweden,Argentina,3,2
Switzerland,Netherlands,3,2
Austria,Hungary,2,1
Czechoslovakia,Switzerland,3,2
Germany,Sweden,2,1
Italy,Spain,1,1
Italy,Spain,1,0
Czechoslovakia,Germany,3,1
Italy,Austria,1,0
Germany,Austria,3,2
Switzerland,Germany,1,1
France,Belgium,3,1
Italy,Norway,2,1
Brazil,Poland,6,5
Czechoslovakia,Netherlands,3,0
Switzerland,Germany,4,2
Brazil,Czechoslovakia,1,1
Hungary,Switzerland,2,0
Italy,France,3,1
Sweden,Cuba,8,0
Brazil,Czechoslovakia,2,1
Hungary,Sweden,5,1
Italy,Brazil,2,1
Brazil,Sweden,4,2
Brazil,Mexico,4,0
Yugoslavia,Switzerland,3,0
England,Chile,2,0
Spain,United States,3,1
Sweden,Italy,3,2
Brazil,Switzerland,2,2
Yugoslavia,Mexico,4,1
Spain,Chile,2,0
United States,England,1,0
Sweden,Paraguay,2,2
Brazil,Yugoslavia,2,0
Chile,United States,5,2
Spain,England,1,0
Italy,Paraguay,2,0
Uruguay,Bolivia,8,0
Switzerland,Mexico,2,1
Brazil,Sweden,7,1
Uruguay,Spain,2,2
Brazil,Spain,6,1
Uruguay,Sweden,3,2
Sweden,Spain,3,1
Uruguay,Brazil,2,1
Brazil,Mexico,5,0
Yugoslavia,France,1,0
Austria,Scotland,1,0
Uruguay,Czechoslovakia,2,0
Switzerland,Italy,2,1
Hungary,South Korea,9,0
Germany,Turkey,4,1
England,Belgium,4,4
Uruguay,Scotland,7,0
Brazil,Yugoslavia,1,1
Austria,Czechoslovakia,5,0
France,Mexico,3,2
Hungary,Germany,8,3
Turkey,South Korea,7,0
Italy,Belgium,4,1
England,Switzerland,2,0
Germany,Turkey,7,2
Switzerland,Italy,4,1
Austria,Switzerland,7,5
Uruguay,England,4,2
Hungary,Brazil,4,2
Germany,Yugoslavia,2,0
Hungary,Uruguay,4,2
Germany,Austria,6,1
Austria,Uruguay,3,1
Germany,Hungary,3,2
Sweden,Mexico,3,0
Argentina,Germany,1,3
France,Paraguay,7,3
Yugoslavia,Scotland,1,1
Brazil,Austria,3,0
Soviet Union,England,2,2
Argentina,Northern Ireland,3,1
Germany,Czechoslovakia,2,2
Paraguay,Scotland,3,2
Yugoslavia,France,3,2
Mexico,Wales,1,1
Brazil,England,0,0
Soviet Union,Austria,2,0
Sweden,Hungary,2,1
Sweden,Wales,0,0
Czechoslovakia,Argentina,6,1
Germany,Northern Ireland,2,2
France,Scotland,2,1
Paraguay,Yugoslavia,3,3
Hungary,Mexico,4,0
Brazil,Soviet Union,2,0
England,Austria,2,2
Soviet Union,England,1,0
Brazil,Wales,1,0
France,Northern Ireland,4,0
Sweden,Soviet Union,2,0
Germany,Yugoslavia,1,0
Brazil,France,5,2
Sweden,Germany,3,1
France,Germany,6,3
Brazil,Sweden,5,2
Uruguay,Colombia,2,1
Chile,Switzerland,3,1
Brazil,Mexico,2,0
Argentina,Bulgaria,1,0
Germany,Italy,0,0
Czechoslovakia,Spain,1,0
Hungary,England,2,1
Yugoslavia,Uruguay,3,1
Brazil,Czechoslovakia,0,0
England,Argentina,3,1
Soviet Union,Colombia,4,4
Germany,Switzerland,2,1
Spain,Mexico,1,0
Soviet Union,Uruguay,2,1
Germany,Chile,2,0
Brazil,Spain,2,1
Hungary,Argentina,0,0
Yugoslavia,Colombia,5,0
Italy,Switzerland,3,0
Mexico,Czechoslovakia,3,1
England,Bulgaria,0,0
Brazil,England,3,1
Yugoslavia,Germany,1,0
Brazil,Chile,4,2
Brazil,Czechoslovakia,3,1
England,Uruguay,0,0
Germany,Switzerland,5,0
Brazil,Bulgaria,2,0
France,Mexico,1,1
Argentina,Spain,2,1
Portugal,Hungary,3,1
Uruguay,France,2,1
Spain,Switzerland,2,1
Hungary,Brazil,3,1
Argentina,Germany,0,0
Portugal,Bulgaria,3,0
England,Mexico,2,0
Mexico,Uruguay,0,0
Argentina,Switzerland,2,0
Portugal,Brazil,3,1
England,France,2,0
Germany,Spain,2,1
England,Argentina,1,0
Portugal,North Korea,5,3
Germany,Uruguay,4,0
Germany,Soviet Union,2,1
England,Portugal,2,1
Portugal,Soviet Union,2,1
England,Germany,4,2
Mexico,Soviet Union,0,0
Uruguay,Israel,2,0
England,Romania,1,0
Belgium,El Salvador,3,0
Italy,Sweden,1,0
Brazil,Czechoslovakia,4,1
Germany,Morocco,2,1
Soviet Union,Belgium,4,1
Uruguay,Italy,0,0
Mexico,El Salvador,4,0
Sweden,Israel,1,1
Brazil,England,1,0
Germany,Bulgaria,5,2
Sweden,Uruguay,1,0
Brazil,Romania,3,2
Germany,Peru,3,1
Mexico,Belgium,1,0
England,Czechoslovakia,1,0
Brazil,Peru,4,2
Italy,Mexico,4,1
Soviet Union,Uruguay,0,1
Germany,England,3,2
Brazil,Uruguay,3,1
Italy,Germany,4,3
Germany,Uruguay,1,0
Brazil,Italy,4,1
Brazil,Yugoslavia,0,0
Germany,Chile,1,0
Germany,Australia,2,0
Zaire,Scotland,0,2
Sweden,Bulgaria,0,0
Uruguay,Netherlands,0,2
Italy,Haiti,3,1
Poland,Argentina,3,2
Australia,Germany,0,3
Chile,Germany,1,1
Scotland,Brazil,0,0
Bulgaria,Uruguay,1,1
Netherlands,Sweden,0,0
Argentina,Italy,1,1
Haiti,Poland,0,7
Australia,Chile,0,0
Scotland,Yugoslavia,1,1
Zaire,Brazil,0,3
Germany,Germany,1,0
Bulgaria,Netherlands,1,4
Sweden,Uruguay,3,0
Argentina,Haiti,4,1
Yugoslavia,Germany,0,2
Brazil,Germany,1,0
Netherlands,Argentina,4,0
Sweden,Poland,0,1
Argentina,Brazil,1,2
Germany,Netherlands,0,2
Germany,Sweden,4,2
Poland,Germany,0,1
Argentina,Germany,1,1
Netherlands,Brazil,2,0
Sweden,Yugoslavia,2,1
Brazil,Poland,0,1
Netherlands,Germany,1,2
Germany,Poland,0,0
Italy,France,2,1
Tunisia,Mexico,3,1
Argentina,Hungary,2,1
Austria,Spain,2,1
Brazil,Sweden,1,1
Netherlands,Iran,3,0
Peru,Scotland,3,1
Poland,Tunisia,1,0
Germany,Mexico,6,0
Argentina,France,2,1
Austria,Sweden,1,0
Brazil,Spain,0,0
Netherlands,Peru,0,0
Scotland,Iran,1,1
France,Hungary,3,1
Poland,Mexico,3,1
Germany,Tunisia,0,0
Argentina,Italy,0,1
Brazil,Austria,1,0
Spain,Sweden,1,0
Peru,Iran,4,1
Scotland,Netherlands,3,2
Austria,Netherlands,1,5
Italy,Germany,0,0
Brazil,Peru,3,0
Argentina,Poland,2,0
Italy,Austria,1,0
Netherlands,Germany,2,2
Argentina,Brazil,0,0
Austria,Germany,3,2
Italy,Netherlands,1,2
Brazil,Poland,3,1
Argentina,Peru,6,0
Brazil,Italy,2,1
Argentina,Netherlands,3,1
Argentina,Belgium,0,1
Brazil,Soviet Union,2,1
Scotland,New Zealand,5,2
Germany,Algeria,1,2
England,France,3,1
Spain,Honduras,1,1
Chile,Austria,0,1
Argentina,Hungary,4,1
Brazil,Scotland,4,1
Belgium,El Salvador,1,0
Soviet Union,New Zealand,3,0
Germany,Chile,4,1
England,Czechoslovakia,2,0
Spain,Yugoslavia,2,1
Algeria,Austria,0,2
France,Kuwait,4,1
Belgium,Hungary,1,1
Soviet Union,Scotland,2,2
Argentina,El Salvador,2,0
Brazil,New Zealand,4,0
Algeria,Chile,3,2
France,Czechoslovakia,1,1
Germany,Austria,1,0
England,Kuwait,1,0
Spain,Northern Ireland,0,1
Austria,France,0,1
Poland,Belgium,3,0
Italy,Argentina,2,1
Germany,England,0,0
Austria,Northern Ireland,2,2
Belgium,Soviet Union,0,1
Argentina,Brazil,1,3
Germany,Spain,2,1
France,Northern Ireland,4,1
Italy,Brazil,3,2
Spain,England,0,0
Germany,France,3,3
Poland,France,3,2
Italy,Germany,3,1
Spain,Brazil,0,1
Canada,France,0,1
Argentina,South Korea,3,1
Belgium,Mexico,1,2
Algeria,Northern Ireland,1,1
Portugal,England,1,0
Paraguay,Iraq,1,0
Uruguay,Germany,1,1
Scotland,Denmark,0,1
Italy,Argentina,1,1
France,Soviet Union,1,1
South Korea,Bulgaria,1,1
Hungary,Canada,2,0
Brazil,Algeria,1,0
England,Morocco,0,0
Mexico,Paraguay,1,1
Northern Ireland,Spain,1,2
Poland,Portugal,1,0
Iraq,Belgium,1,2
Germany,Scotland,2,1
Denmark,Uruguay,6,1
Hungary,France,0,3
